run,epoch,train_loss,train_acc,train_precision,train_time,val_loss,val_acc,val_precision,val_time
25%,1,0.7923117019653321,0.7168,0.7087136929460581,5.371703863143921,0.36602225303649905,0.84,0.8386454183266933,2.827183723449707
25%,2,0.3869819123744965,0.8204,0.831304347826087,5.142938137054443,0.3775527379512787,0.8415,0.8636847710330139,2.823848247528076
25%,3,0.3590582762211561,0.8324,0.8384615384615385,5.515181541442871,0.4243301100730896,0.8245,0.926412614980289,2.844799757003784
25%,4,0.3039933181762695,0.8568,0.8623619371282922,5.155755996704102,0.5120626697540284,0.8005,0.9601837672281777,2.8842384815216064
25%,5,0.3280841850280762,0.8464,0.8630377524143986,5.148118257522583,0.8055564765930175,0.7165,0.6401294498381876,2.829651355743408
25%,6,0.36949464991092684,0.8416,0.8294260307194826,5.199565887451172,0.33106369042396544,0.8615,0.8492753623188406,2.871670961380005
25%,7,0.2616803544044495,0.8872,0.8919831223628693,5.194309711456299,0.35087870359420775,0.8505,0.826046511627907,2.8682820796966553
25%,8,0.25754550766944884,0.8872,0.8939779474130619,5.193674802780151,0.40908422803878786,0.837,0.7895189003436426,2.8795812129974365
25%,9,0.23003426885604858,0.9044,0.9084033613445378,5.267218351364136,0.3863033671379089,0.86,0.9026845637583892,2.866004705429077
25%,10,0.1998237781882286,0.9176,0.9205020920502092,5.21362042427063,0.41286747908592225,0.842,0.8053571428571429,2.855588436126709
50%,1,0.6965933404922485,0.7622,0.7673922321809645,10.882783889770508,0.44601264548301695,0.8,0.7347417840375586,2.877786636352539
50%,2,0.4140566648244858,0.8128,0.8190677966101695,10.462759971618652,0.3261291098594665,0.851,0.8524096385542169,2.884749174118042
50%,3,0.33832559003829954,0.8482,0.8567189487070793,10.49248480796814,0.33941185116767886,0.8435,0.9143546441495778,2.8889780044555664
50%,4,0.33109862327575684,0.8538,0.8629613915994909,10.59648323059082,0.34959333419799804,0.835,0.9478609625668449,2.8883025646209717
50%,5,0.3115671717971563,0.8618,0.8743052586575459,11.055721282958984,0.36728866171836855,0.8455,0.9031505250875146,2.90358829498291
50%,6,0.30049803673028946,0.862,0.8686868686868687,12.254854202270508,0.3215921406745911,0.8635,0.8972677595628415,2.8954219818115234
50%,7,0.29205497846603395,0.8776,0.8818864774624374,10.494948863983154,0.4056407976150513,0.8285,0.9421265141318977,2.9041552543640137
50%,8,0.2669181526184082,0.8862,0.8900458142440649,11.401194334030151,0.3359639332294464,0.863,0.8813025210084033,2.9020562171936035
50%,9,0.2286571580886841,0.9004,0.905,10.82969069480896,0.3902327189445496,0.845,0.8285714285714286,2.9045493602752686
50%,10,0.22144084405899048,0.9054,0.9100374843815077,10.547094821929932,0.317538991689682,0.861,0.8840425531914894,2.9097182750701904
100%,1,0.6732105366706849,0.7788,0.7861247947454844,21.03794527053833,0.4030493574142456,0.8305,0.9496598639455782,2.916325569152832
100%,2,0.3323186996459961,0.8555,0.8665704268921427,21.39245104789734,0.338026759147644,0.8505,0.9354037267080745,2.9198436737060547
100%,3,0.30287153959274293,0.8648,0.874384236453202,21.033541917800903,0.2982405250072479,0.87,0.8656126482213439,2.912154197692871
100%,4,0.30121623430252076,0.8683,0.8769703172978506,21.05010485649109,0.4442259731292725,0.8035,0.7290566037735849,2.9120194911956787
100%,5,0.2758814449310303,0.8809,0.8867005076142132,21.534440517425537,0.2865872547626495,0.879,0.8899176954732511,2.9188055992126465
100%,6,0.2519729485988617,0.8915,0.8989199103321786,21.0789897441864,0.3090901622772217,0.8685,0.934040047114252,2.915945291519165
100%,7,0.24852451679706575,0.8918,0.9002860645688598,21.439680099487305,0.2995282256603241,0.878,0.8579545454545454,2.918680429458618
100%,8,0.23036275720596314,0.9015,0.9059656218402427,21.072303533554077,0.3148937664031982,0.877,0.9373549883990719,2.921396255493164
100%,9,0.20991799745559692,0.911,0.9154872624342903,21.03644299507141,0.30052716875076296,0.8795,0.8932642487046633,2.9155006408691406
100%,10,0.193463370013237,0.9181,0.9237786336914656,21.41716432571411,0.3256985611915588,0.875,0.8551136363636364,2.9130260944366455
