run,epoch,train_loss,train_acc,train_precision,train_f1,train_time,val_loss,val_acc,val_precision,val_f1,val_time
25% Dataset,1,0.41633569158911704,0.8196,0.8166666666666667,0.8129406885109913,22.815523862838745,0.4632083716392517,0.807,0.7405956112852664,0.8304042179261862,7.868931293487549
25% Dataset,2,0.2199744862243533,0.9136,0.9163179916317992,0.9102244389027432,22.430267333984375,0.42841168808937075,0.8525,0.7877551020408163,0.8674157303370786,7.910818338394165
25% Dataset,3,0.10895163375139237,0.9596,0.9632721202003339,0.9580738895807389,22.559781789779663,0.4508416928648949,0.876,0.982051282051282,0.8606741573033708,7.9501354694366455
25% Dataset,4,0.07566284668613225,0.9744,0.97751873438801,0.9734660033167496,22.657703399658203,0.3013271119594574,0.914,0.9259259259259259,0.9127789046653144,7.955334663391113
25% Dataset,5,0.04408803284149617,0.9848,0.9859154929577465,0.9842845326716294,22.733097791671753,0.27766145193576813,0.918,0.9034749034749034,0.9194499017681729,7.99486231803894
25% Dataset,6,0.041894004968041555,0.9836,0.9826732673267327,0.9830788278992983,23.092620372772217,0.3254550940990448,0.9095,0.8987341772151899,0.9107054760730143,8.006895303726196
25% Dataset,7,0.02735097810023435,0.9908,0.990909090909091,0.9904997934737712,22.822386264801025,0.27723049628734586,0.925,0.9024621212121212,0.9270428015564203,8.007291316986084
25% Dataset,8,0.050156696781516075,0.9828,0.9826446280991735,0.9822387443205287,22.845781564712524,0.2436092734336853,0.9345,0.9230769230769231,0.9353724716329551,8.105222225189209
25% Dataset,9,0.08387446397532985,0.9704,0.9686727122835944,0.9694719471947195,24.018649578094482,0.5007611019015312,0.884,0.9324324324324325,0.8771186440677966,8.032787084579468
25% Dataset,10,0.06728871777802706,0.9772,0.978441127694859,0.9764170459247,23.122272729873657,0.34506971406936643,0.893,0.8527827648114902,0.8987701040681173,7.997887849807739
50% Dataset,1,0.4020628008365631,0.8326,0.8263521756811713,0.829218526831259,45.86677408218384,0.4887055466175079,0.8485,0.7794707297514034,0.8651535380507344,7.95417046546936
50% Dataset,2,0.207537897464633,0.913,0.9162173372044795,0.9103647228518442,45.658113956451416,0.2238305230140686,0.9105,0.9343915343915344,0.9079691516709512,8.298598527908325
50% Dataset,3,0.11636662578582764,0.9556,0.957166392092257,0.9544147843942505,45.55678415298462,0.20825973641872406,0.916,0.9007707129094412,0.9175662414131501,7.949107646942139
50% Dataset,4,0.1264837754406035,0.9514,0.9515400410677618,0.9501742874718064,46.628331422805786,0.21469326984882356,0.9215,0.911219512195122,0.9224691358024691,8.065276622772217
50% Dataset,5,0.07705533281564712,0.9708,0.9724279835390947,0.9700328407224958,46.440818786621094,0.24120548129081726,0.916,0.8961904761904762,0.9180487804878049,8.57762861251831
50% Dataset,6,0.06841958235502243,0.9758,0.9742541888026155,0.9752505624872162,49.28964710235596,0.23385767555236817,0.924,0.9520255863539445,0.9215686274509803,8.38774299621582
50% Dataset,7,0.031811502454802396,0.9892,0.9905505341002465,0.9889253486464314,56.40892243385315,0.23055871725082397,0.9315,0.9177153920619555,0.9326119035907526,8.127390623092651
50% Dataset,8,0.029471189223229884,0.99,0.9909688013136289,0.989749897498975,46.50657033920288,0.35499944078922274,0.917,0.8911819887429644,0.9196515004840271,8.027767181396484
50% Dataset,9,0.15481547837257384,0.9462,0.9462012320328542,0.9448431412753742,46.02068376541138,0.24204019618034361,0.9215,0.8980169971671388,0.9237493929091792,8.10843276977539
50% Dataset,10,0.05281137233972549,0.9818,0.9835458658988071,0.9813256720705931,57.48783230781555,0.3111028259992599,0.922,0.9460887949260042,0.9198355601233299,8.09590196609497
100% Dataset,1,0.31134494576454164,0.8722,0.8813524590163935,0.8706477732793523,97.1772825717926,0.20137462091445923,0.916,0.9642857142857143,0.9113924050632911,8.189462661743164
100% Dataset,2,0.14675526704788208,0.9406,0.9452303961196443,0.9402895054282268,91.49339628219604,0.15374377620220184,0.9395,0.930460333006856,0.9401286491835725,7.935485363006592
100% Dataset,3,0.09698111089468002,0.9606,0.9641273679967755,0.9604497088937964,91.59383177757263,0.16311898462474347,0.9415,0.9366963402571711,0.9418199900546992,7.953234434127808
100% Dataset,4,0.08030578773319721,0.9697,0.9718706047819972,0.96963014934349,91.20768022537231,0.16693414109945298,0.9415,0.9455095862764884,0.9412355600200905,8.077035188674927
100% Dataset,5,0.05885243304371834,0.9773,0.9775865519311587,0.9772931879563869,92.12469696998596,0.15227707397937776,0.951,0.960204081632653,0.9505050505050505,7.948694467544556
100% Dataset,6,0.04599039499498904,0.9839,0.9845784097736832,0.9838887221054738,91.23442149162292,0.1968628199994564,0.941,0.9298245614035088,0.9417571569595261,7.9423668384552
100% Dataset,7,0.03594205147624016,0.9872,0.9875900720576462,0.9871948779511804,91.89788222312927,0.20504591059684754,0.936,0.9067164179104478,0.9382239382239382,7.950571298599243
100% Dataset,8,0.03173999352231622,0.9875,0.9872076753947632,0.9875037488753374,95.34908771514893,0.18416721263527872,0.9565,0.9578736208625878,0.956434651977967,8.779248714447021
100% Dataset,9,0.03825232465416193,0.9858,0.9858,0.9858,93.464998960495,0.21986175701767205,0.947,0.9685534591194969,0.9457523029682702,8.128857374191284
100% Dataset,10,0.03827167884707451,0.9854,0.985594237695078,0.9853970794158832,94.37588715553284,0.18052522879838945,0.9485,0.9628482972136223,0.9476891823260538,8.135427951812744
