run,epoch,train_loss,train_acc,train_precision,train_time,train_mem_mb,val_loss,val_acc,val_precision,val_time,val_mem_mb
25%,1,0.5933437023878098,0.6784,0.6677658697444353,59.42125058174133,3587.66796875,0.4748825554847717,0.7815,0.9207772795216741,17.788132190704346,1777.51220703125
25%,2,0.3981593313694,0.8144,0.8267716535433071,60.67550826072693,3580.54296875,0.33206218433380125,0.8475,0.8377065111758989,17.862279891967773,1777.51220703125
25%,3,0.34010849789381026,0.8452,0.8582608695652174,59.94296884536743,3580.54296875,0.3833615460395813,0.818,0.7731958762886598,17.87265181541443,1777.51220703125
25%,4,0.34746386317014694,0.8404,0.8493975903614458,59.89331126213074,3580.54296875,0.3190101765394211,0.8635,0.8213969938107869,18.87719225883484,1777.51220703125
25%,5,0.291738613152504,0.866,0.8686868686868687,60.137009143829346,3580.54296875,0.31366814440488816,0.8745,0.8733798604187437,18.290110111236572,1777.51220703125
25%,6,0.26005371646881104,0.888,0.896845694799659,59.879485845565796,3580.54296875,0.4399507210254669,0.785,0.8450363196125908,18.925425052642822,1777.51220703125
25%,7,0.38885247610807416,0.8104,0.8218340611353712,59.8857741355896,3580.54296875,0.4151910271644592,0.8235,0.8883553421368547,17.970963716506958,1777.51220703125
25%,8,0.2884914701938629,0.874,0.8848797250859106,59.92657113075256,3580.54296875,0.4136158781051636,0.81,0.8270042194092827,18.09647274017334,1777.51220703125
25%,9,0.27452842168807984,0.8764,0.8809121621621622,59.961782693862915,3580.54296875,0.5485053253173828,0.7455,0.8890649762282092,17.91443705558777,1777.51220703125
25%,10,0.31427844958305357,0.8544,0.8604255319148936,59.898794174194336,3580.54296875,0.34289400196075437,0.8605,0.9001109877913429,18.01370596885681,1777.51220703125
50%,1,0.5364584981918334,0.7224,0.7236842105263158,120.9977970123291,3582.85546875,0.500082929611206,0.7385,0.6709677419354839,18.116408348083496,1779.91845703125
50%,2,0.41991625642776487,0.8074,0.8098031001256808,119.8175368309021,3582.85546875,0.4236256990432739,0.806,0.8558139534883721,17.898467302322388,1779.91845703125
50%,3,0.39712463698387146,0.814,0.8157894736842105,130.24111890792847,3582.85546875,0.4273437242507935,0.8075,0.9241379310344827,17.953555822372437,1779.91845703125
50%,4,0.3634804769992828,0.8356,0.8432203389830508,120.26470375061035,3582.85546875,0.4130252273082733,0.8095,0.7805983680870353,18.245478630065918,1779.91845703125
50%,5,0.3379247380256653,0.852,0.8528192371475953,119.88415861129761,3582.85546875,0.3914553451538086,0.814,0.904639175257732,17.895209789276123,1779.91845703125
50%,6,0.3279761983394623,0.861,0.8635039533915938,121.12849473953247,3582.85546875,0.3862308492660522,0.817,0.9012658227848102,17.910248279571533,1779.91845703125
50%,7,0.3018923017978668,0.8678,0.8705784436121515,121.6273295879364,3582.85546875,0.34687039041519163,0.8445,0.8533333333333334,17.980382919311523,1779.91845703125
50%,8,0.3262005014181137,0.8558,0.8629270350063264,120.55422711372375,3582.85546875,0.4073028767108917,0.8105,0.9270976616231087,18.26671600341797,1779.91845703125
50%,9,0.2730266038417816,0.884,0.8856669428334715,120.80638909339905,3582.85546875,0.3930158921480179,0.8235,0.9028642590286425,18.03656840324402,1779.91845703125
50%,10,0.24614283810853957,0.8928,0.8964226289517471,120.42417430877686,3582.85546875,0.4162887315750122,0.8425,0.8987194412107101,18.103077173233032,1779.91845703125
100%,1,0.3958580254554748,0.8112,0.8225538971807629,240.85775423049927,3580.54296875,0.27351536285877226,0.882,0.8812375249500998,18.064544439315796,1777.51220703125
100%,2,0.2867450005531311,0.8754,0.8910416666666666,242.24023842811584,3580.54296875,0.24885651564598082,0.8965,0.9204665959703076,18.71761703491211,1777.51220703125
100%,3,0.2449709626674652,0.8971,0.90963482566536,241.4998118877411,3580.54296875,0.20201523679494857,0.9165,0.9152542372881356,18.12465763092041,1777.51220703125
100%,4,0.21924740685224534,0.9073,0.9170591849272988,241.029860496521,3580.54296875,0.2436445391178131,0.8965,0.8891069676153092,19.468024969100952,1777.51220703125
100%,5,0.20874044452905655,0.9105,0.9182800081516201,241.07814383506775,3580.54296875,0.19061547285318375,0.9205,0.9192422731804586,17.895247220993042,1777.51220703125
100%,6,0.17923303615152836,0.9237,0.932258722709651,241.43371558189392,3580.54296875,0.29442610371112826,0.8865,0.9457900807381776,18.094775438308716,1777.51220703125
100%,7,0.15694888992905617,0.9372,0.9435876623376623,242.10907697677612,3580.54296875,0.24794614133238793,0.904,0.8862332695984704,18.32593822479248,1777.51220703125
100%,8,0.14552330943048,0.9413,0.9483844747002642,240.85522365570068,3580.54296875,0.2249312419295311,0.908,0.9206185567010309,17.92033076286316,1777.51220703125
100%,9,0.1636316949546337,0.9333,0.9386515488965378,240.53783679008484,3580.54296875,0.21351375380158424,0.9095,0.92173017507724,17.975753784179688,1777.51220703125
100%,10,0.1331954873919487,0.9476,0.9535873530603972,241.75786423683167,3580.54296875,0.2718360657095909,0.888,0.8967280163599182,18.088263511657715,1777.51220703125
