run,epoch,train_loss,train_acc,train_precision,train_time,train_mem_mb,val_loss,val_acc,val_precision,val_time,val_mem_mb
25%,1,0.9248462602615356,0.5572,0.5483271375464684,15.906689643859863,2370.1767578125,0.8897025423049927,0.5275,0.9824561403508771,4.793677091598511,1972.99755859375
25%,2,0.6219073352336884,0.6684,0.6872549019607843,15.93236756324768,2370.1767578125,0.5010959050655365,0.751,0.7027463651050081,5.285784721374512,1972.99755859375
25%,3,0.5551307970046997,0.726,0.7490530303030303,15.77632451057434,2370.1767578125,0.6028630290031433,0.698,0.9439461883408071,4.838241338729858,1972.99755859375
25%,4,0.602758207821846,0.7056,0.7176901924839597,15.797306537628174,2370.1767578125,0.5727930788993836,0.7275,0.9690721649484536,4.833568096160889,1972.99755859375
25%,5,0.4868800569534302,0.7588,0.7923076923076923,15.834797620773315,2370.1767578125,0.4470427929162979,0.808,0.8061630218687873,5.193278074264526,1972.99755859375
25%,6,0.4941795705795288,0.7664,0.7943661971830986,15.85604739189148,2370.1767578125,0.3996523551940918,0.818,0.7755632582322357,4.8218300342559814,1972.99755859375
25%,7,0.44832550945281985,0.7756,0.8048780487804879,15.905161142349243,2370.1767578125,0.3879225134849548,0.8075,0.8288770053475936,4.831833600997925,1972.99755859375
25%,8,0.43503973007202146,0.7896,0.8139321723189734,16.179526805877686,2370.1767578125,0.403937015414238,0.8235,0.8290946083418108,4.829627513885498,1972.99755859375
25%,9,0.48950770175457003,0.7772,0.807909604519774,15.99600625038147,2370.1767578125,0.7178066725730896,0.768,0.975177304964539,4.855710506439209,1972.99755859375
25%,10,0.47858226225376127,0.7804,0.8140417457305503,15.910719394683838,2370.1767578125,0.626265331029892,0.774,0.959731543624161,4.847225666046143,1972.99755859375
50%,1,1.2847679144859314,0.5214,0.511507750117426,32.10574722290039,2370.1767578125,1.0574548530578614,0.5,0.5,4.974346399307251,1972.99755859375
50%,2,0.6339462737083436,0.6552,0.6690207156308852,33.00718140602112,2370.1767578125,0.51838121676445,0.7365,0.6837606837606838,5.331591367721558,1972.99755859375
50%,3,0.5712654975891114,0.703,0.7271001423825344,31.931149005889893,2370.1767578125,0.45001087498664855,0.7825,0.7970557308096741,4.849677801132202,1972.99755859375
50%,4,0.572812686252594,0.7088,0.7323279924599434,32.746044874191284,2370.1767578125,0.45282764339447024,0.788,0.78125,4.8610680103302,1972.99755859375
50%,5,0.5462007947921753,0.7182,0.74701099952176,31.84684729576111,2370.1767578125,0.5278703081607818,0.7315,0.6606523247744622,4.844092607498169,1972.99755859375
50%,6,0.5289506621122361,0.7386,0.7663068981698733,32.1314218044281,2370.1767578125,0.4428873635530472,0.7915,0.8955223880597015,4.844378232955933,1972.99755859375
50%,7,0.5319816785812378,0.738,0.7591575091575091,32.084240436553955,2370.1767578125,0.5421738529205322,0.76,0.9262295081967213,4.849836826324463,1972.99755859375
50%,8,0.4983735200881958,0.757,0.7836338418862691,32.71815323829651,2370.1767578125,0.4222591288089752,0.7985,0.8483080513418904,4.882767200469971,1972.99755859375
50%,9,0.4783106249809265,0.7718,0.8087327954437589,32.09847140312195,2370.1767578125,0.4251700236797333,0.8025,0.894393741851369,4.938700199127197,1972.99755859375
50%,10,0.4711996141433716,0.7674,0.7973035797303579,31.974007606506348,2370.1767578125,0.40810631108283996,0.807,0.7974806201550387,4.838711261749268,1972.99755859375
100%,1,0.8354423651695252,0.5625,0.5686662272028126,65.32946991920471,2370.1767578125,0.5769951038360596,0.6985,0.6452084857351865,4.805439233779907,1972.99755859375
100%,2,0.5821747891426087,0.6967,0.7187986651835373,63.887255907058716,2370.1767578125,0.526473358631134,0.74,0.909556313993174,4.8130388259887695,1972.99755859375
100%,3,0.540758681678772,0.7319,0.7619155184097584,63.790262937545776,2370.1767578125,0.39625677132606507,0.8155,0.8978562421185372,4.947288513183594,1972.99755859375
100%,4,0.46607868366241456,0.7677,0.8049669628616997,63.754616022109985,2370.1767578125,0.3831674852371216,0.8325,0.7868852459016393,4.806685447692871,1972.99755859375
100%,5,0.42510214743614194,0.801,0.8380503144654088,63.815227031707764,2370.1767578125,0.33875326347351076,0.8355,0.9362808842652796,4.95183253288269,1972.99755859375
100%,6,0.3880637219429016,0.8169,0.858890147225368,66.20901441574097,2370.1767578125,0.37634892416000365,0.8415,0.7829328914664457,4.826021909713745,1972.99755859375
100%,7,0.3942444998145103,0.813,0.8524774774774775,63.82577967643738,2370.1767578125,0.3386667805910111,0.856,0.8117338003502627,5.133112668991089,1972.99755859375
100%,8,0.39627309556007384,0.8139,0.8521426968813103,64.10913395881653,2370.1767578125,0.2732006995677948,0.88,0.8861788617886179,4.8367321491241455,1972.99755859375
100%,9,0.3608231767952442,0.8333,0.87576099210823,64.03190565109253,2370.1767578125,0.2863098343610764,0.8765,0.9061488673139159,4.8280839920043945,1972.99755859375
100%,10,0.3239553870916367,0.8407,0.8863687911090951,64.22563576698303,2370.1767578125,0.23959319317340852,0.897,0.9152719665271967,4.894332647323608,1972.99755859375
