run,epoch,train_loss,train_acc,train_precision,train_time,train_mem_mb,val_loss,val_acc,val_precision,val_time,val_mem_mb
25%,1,1.1819879783630372,0.7208,0.7111111111111111,4.278215646743774,184.91455078125,0.7094585905075074,0.8285,0.8383110195674562,3.291707754135132,184.91455078125
25%,2,1.0127972078323364,0.758,0.7495881383855024,4.150674343109131,184.91455078125,1.1772922306060791,0.776,0.7103658536585366,2.857905626296997,184.91455078125
25%,3,1.8873108373641967,0.7276,0.7123397435897436,4.248503684997559,184.91455078125,2.0114417972564698,0.7885,0.9459041731066461,2.8453545570373535,184.91455078125
25%,4,1.3538372200012208,0.7832,0.7780548628428927,4.137411594390869,184.91455078125,1.109710862159729,0.8185,0.7877145438121048,2.8654067516326904,184.91455078125
25%,5,1.7336397777837702,0.7556,0.7491694352159468,4.141235589981079,184.91455078125,1.0216405334472656,0.8255,0.8271356783919598,2.867398262023926,184.91455078125
25%,6,1.0232933044612407,0.784,0.7752255947497949,4.132425546646118,184.91455078125,1.9504605369567871,0.7565,0.9282136894824707,3.010425567626953,184.91455078125
25%,7,1.2280832769393921,0.778,0.7756302521008404,5.490668296813965,184.91455078125,1.0876251564025878,0.8,0.8125,2.8935985565185547,184.91455078125
25%,8,1.478663708827761,0.7496,0.7411376751854906,4.151324033737183,184.91455078125,2.8590758800506593,0.707,0.6332046332046332,2.8708608150482178,184.91455078125
25%,9,1.8258936725616455,0.768,0.7575510204081632,4.151472330093384,184.91455078125,1.1718733501434326,0.8195,0.7988774555659495,3.3067939281463623,184.91455078125
25%,10,0.9722430597901345,0.7928,0.7866004962779156,4.2162439823150635,184.91455078125,1.1157802085876465,0.7895,0.8678526048284625,2.86753249168396,184.91455078125
50%,1,1.1790988460540772,0.7398,0.7339073390733908,8.330363988876343,184.91455078125,1.0787171020507813,0.7875,0.9209370424597365,2.8993775844573975,184.91455078125
50%,2,1.1952853096604348,0.7566,0.7551020408163265,8.322263717651367,184.91455078125,0.8712462067604065,0.81,0.7802893309222423,2.924478769302368,184.91455078125
50%,3,0.8447603780269622,0.7788,0.7733224222585925,8.798768758773804,184.91455078125,0.7121965990066529,0.8105,0.8047105004906772,3.1575214862823486,184.91455078125
50%,4,0.9243690567016601,0.7642,0.7589175891758918,8.472357034683228,184.91455078125,0.9091033172607422,0.8075,0.8763769889840881,2.999399423599243,184.91455078125
50%,5,1.3465126082897185,0.7654,0.7658148303309593,8.867783546447754,184.91455078125,0.8539776577949524,0.805,0.8481735159817352,2.8826093673706055,184.91455078125
50%,6,1.0685642889022826,0.7692,0.7658959537572254,8.271954536437988,184.91455078125,1.3736040844917297,0.7715,0.7033707865168539,2.877972364425659,184.91455078125
50%,7,1.031537220287323,0.771,0.7661058678703324,8.281676530838013,184.91455078125,0.7467497138977051,0.8035,0.7655293088363955,2.94291615486145,184.91455078125
50%,8,1.04181041970253,0.766,0.7591687041564792,8.44555115699768,184.91455078125,0.785261880159378,0.804,0.8423423423423423,2.8786067962646484,184.91455078125
50%,9,1.0595451621532441,0.767,0.762649115590292,8.534056663513184,184.91455078125,0.8042575964927673,0.816,0.7776801405975395,2.90425443649292,184.91455078125
50%,10,0.7983566738128662,0.7852,0.7805578342904019,8.336447715759277,184.91455078125,1.3598326091766357,0.722,0.9475806451612904,3.4068472385406494,184.91455078125
100%,1,0.8929210068702698,0.756,0.7585858585858586,16.892143964767456,184.91455078125,0.7039728126525879,0.807,0.7847866419294991,2.9550580978393555,184.91455078125
100%,2,0.9117803107261657,0.7669,0.7683490850593203,16.846867322921753,184.91455078125,0.9211212358474732,0.7685,0.7066974595842956,2.8819944858551025,184.91455078125
100%,3,1.0650225249290466,0.7569,0.7559274755927475,16.577799081802368,184.91455078125,0.8100022830963135,0.808,0.8399558498896247,3.286163806915283,184.91455078125
100%,4,1.1074167065620422,0.7615,0.7643015969274307,16.74431085586548,184.91455078125,0.7820169982910157,0.795,0.74748322147651,2.8898065090179443,184.91455078125
100%,5,0.7656448168992996,0.774,0.7746591820368885,16.648712873458862,184.91455078125,2.818165964126587,0.6105,0.9955156950672646,2.894029378890991,184.91455078125
100%,6,0.8831471133232117,0.7701,0.7701540308061612,16.970948696136475,184.91455078125,2.520496768951416,0.657,0.9845679012345679,3.3125791549682617,184.91455078125
100%,7,1.15064236907959,0.7642,0.7635674381484437,16.89041781425476,184.91455078125,0.7782743968963624,0.809,0.8584686774941995,2.9982731342315674,184.91455078125
100%,8,1.0015566352367402,0.769,0.7698635634028892,16.672725200653076,184.91455078125,0.7016684713363648,0.7925,0.7993858751279427,2.898310899734497,184.91455078125
100%,9,1.1048760053873061,0.7661,0.7673297166968053,16.756739139556885,184.91455078125,0.7668995475769043,0.7955,0.7571801566579635,3.304563522338867,184.91455078125
100%,10,1.0696011682510376,0.7633,0.7625124626121635,16.77315902709961,184.91455078125,1.0529629678726196,0.7795,0.8771929824561403,4.293964624404907,184.91455078125
